,Monobit,Frequency Within Blocks,Runs,Longest Run in Ones,Binary Matrix Rank,DFT,Nonoverlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity
0,0.08211727118539798,0.7666139030760548,0.858401318197496,0.3079630680922981,0.10104649560963196,0.378485545,1.0000000045444934,0.6612098678285732,0.9996373389481829,0.16332475534277924
1,0.6765839555002253,0.7800693903337377,0.013575953422646335,0.27893327143775626,0.8436811508646539,1.138623878,0.9999669704998463,0.6164580484427845,0.9994971170953013,0.9939313155286965
2,0.23628198925897229,0.04603844933662763,0.11413999458655295,0.5867119521070842,0.42747305535545,0.4237318744,1.0000000450161923,0.21116356330718672,0.997514719565413,0.1917974262218946
3,0.09858501868860013,0.7157705213131063,0.2444343832037946,0.9603576283878084,0.11849822967144776,1.437249652,0.9999999541951224,0.16932070152220424,0.9984673496982676,0.251217973623252
4,0.3422980460987995,0.7885954076282917,0.29828178783039994,0.34854303967486716,0.3772900382840896,0.01651491021,1.000007945055846,0.3792069501532603,0.9971360597641885,0.5939287620091876
5,0.7575833412095538,0.281343789848686,0.007961426551056446,0.7128177201982236,0.4827779207374061,0.07081050544,0.9999997380701551,0.056818236073399545,0.9992550500496858,0.4841722590528823
6,0.8972137684654985,0.7490910403498705,0.35205059808629524,0.5941125464380742,0.48199677202380975,2.2005552280000003,0.9999998294595867,0.6926369984601018,0.9992094915362346,0.5742472479146611
7,0.23394896762490675,0.14407493692140164,0.46293828523021097,0.9550607306815179,0.7695311851989873,0.7042591164,1.0000003479038309,0.022036877610146454,0.9992052109191388,0.5580693263991999
8,0.6157128708493531,0.250561353707985,0.0874244593434816,0.1036472518827381,0.8885565783159912,1.3680227680000001,0.9999999257278449,0.6070378888368441,0.9998040497379768,0.5583963911261635
9,0.3046315404710383,0.15822345901654086,0.1921748769642039,0.07253847019719752,0.9561979440671564,2.432668898,0.9999999722919045,0.4485065855762801,0.9997490417071009,0.8586499726246017
10,0.16054229612905682,0.5899353716993612,0.39763348042159696,0.8524340435826679,0.4156986399247527,0.4961260014,0.999999996215286,0.48486667909465153,0.9994752820602432,0.6896567627720765
11,0.25144006916599737,0.22566498231541576,0.619772472200169,0.847287549124178,0.5828051969446526,1.675697808,1.0000007877723207,0.5298268126156805,0.9997197300287786,0.8125664453248344
12,0.8106191405648185,0.56489222964094,0.8887167760369571,0.4127986701109033,0.0770984288654894,2.233585049,0.9999966667841625,0.5104229558289629,0.9987555648319874,0.6374766920686902
