Binary Entropy,Byte Entropy,Monobit,Frequency Within Block,Runs,Longest Runs in Ones,Binary Matrix Rank,DFT,Non-Overlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity,Compression Ratio
0.6931456978,0.02350644675,1.235210664,45.41994612,1.120161299,2.178939754,4.160856811,0.4669639627,0.002283783338,1.821020112,0.001363048881,1.218876622,1.001150632
0.6931468918,0.02350644675,0.5451098979,52.38424901,0.0868511761,2.1730407,1.496913536,0.06396766612,0.006111596155,2.959598672,0.00174113959,8.161623506,1.001150632
0.6931465051,0.02350644675,0.8336974909,45.1070432,0.06037337069,2.604296919,0.4521003781,0.07036443273,0.0003485488303,0.5572823854,0.001192670304,4.054706589,1.001150632
0.6931448069,0.02350644675,1.56283426,58.02766285,0.5305541471,3.232149519,0.1780538411,0.1791094651,0.0004299436705,2.270406303,0.00197625555,1.137132921,1.001150632
0.6931471772,0.02350644675,0.05855400438,43.47248148,0.6385222605,1.961873412,0.6603879601,0.2110932982,0.0002420755222,2.867533149,0.0005470734249,7.561061705,1.001150632
0.6931464661,0.02350644675,0.8573979212,53.05931877,0.582383325,5.068204545,2.219696154,0.6972475607,0.0005259372918,4.173394398,0.0006611931236,2.483358294,1.001150632
0.6931468149,0.02350644675,0.613422903,55.04411623,0.6083713749,3.133720074,0.1075223245,0.5053445623,0.003490162246,3.838280875,0.0006006271698,2.643046236,1.001150632
0.6931471796,0.02350644675,0.03067114515,47.98436448,0.8099957505,3.676027233,0.3510099157,0.511741329,0.000765995172,1.008994891,0.001257456362,3.458451367,1.001150632
0.6931470932,0.02350644675,0.2997407367,47.89083999,0.09885891143,2.174159441,0.01014673352,1.042672958,0.0002729529363,1.236072711,0.0008680078616,2.011388691,1.001150632
0.6931469761,0.02350644675,0.4586730343,48.81338401,0.3334936053,2.408945112,0.01047154126,0.7484216936,0.001073238671,2.851019843,0.0001317850566,1.118367121,1.001150632
