Monobit,Frequency Within Blocks,Runs,Longest Run in Ones,Binary Matrix Rank,DFT,Nonoverlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity
1.738531122,88.48397035,514408,7.141459957,4.584349031,0.378485545,0.003718933469,3.251923225,6.1970542,9.187121469
0.4171291348,87.90170405,513248,7.477504194,0.3399612782,1.138623878,0.0007826270642,3.545873426,6.197364871,0.7251856825
1.184331184,123.8720516,513698,4.67050982,1.699728042,0.4237318744,0.005785959688,7.129813437,6.190744385,8.68967333
1.651752484,90.55579089,515089,1.486935997,4.265714516,1.437249652,0.002094341281,7.770921363,6.192855008,7.824852765
0.9496344133,87.52353904,513972,6.709568798,1.94948211,0.01651491021,0.001185142231,5.31020075,6.202595966,4.61592225
0.3086558373,106.6720901,513154,3.73253796,1.456397045,0.07081050544,0.003020823491,10.73851107,6.197901187,5.477566301
0.1291818361,89.21873496,514972,4.614534771,1.459635724,2.200555228,0.003664667906,3.047666895,6.198002125,4.765307437
1.19024791,113.9827669,514127,1.564996843,0.5239475999,0.7042591164,0.001785276594,13.14729387,6.194489791,4.889442273
0.501935531,108.0669106,513633,10.5408311,0.2363139099,1.368022768,0.003670812882,3.608497465,6.196684841,4.886919291
1.026551842,113.051603,513838,11.55990465,0.0895806658,2.432668898,0.003121628214,4.739384187,6.195694685,2.5866232
1.403250021,95.18157312,514070,2.640413611,1.755589409,0.4961260014,0.01502077409,4.462869582,6.197413248,3.904068878
1.146858591,109.2722634,514751,2.684390564,1.079804575,1.675697808,0.001234286885,4.137268624,6.195629743,2.970289756
0.2396273753,96.0619043,514429,6.093495241,5.125344753,2.233585049,0.001737480766,4.275839982,6.199007831,4.290139368
0.3047113538,75.99605276,514198,7.627925699,0.0002493766987,2.245801557,0.0007137209049,1.759082078,6.199384779,5.443098615
0.8628557753,113.405892,514754,12.16537827,1.100454943,0.6228157236,0.005233046507,8.403076968,6.198785016,4.405745684
1.570890572,103.2385674,514020,4.085555789,0.3223848435,1.437249652,0.007463008815,2.167401262,6.198735143,5.923978867
0.588714169,96.06421488,513639,7.06400563,1.457407235,1.753973957,0.001136080208,3.840069518,6.200231135,2.269952862
1.06796892,78.85886204,514060,6.243203817,0.02615227704,0.7074263595,0.006524366807,2.181336815,6.194405372,1.160329907
0.6301312462,105.5807259,514379,6.093455091,0.08133548916,0.4056333427,0.01538953777,1.299547961,6.19579369,2.730540206
0.632103488,100.398864,514198,5.195144739,0.6935220764,0.806968284,0.009027908592,4.807966926,6.199074219,3.730653493
1.919977365,129.1324733,514137,6.008542449,1.693262614,0.1884509618,0.01185808629,4.063742245,6.197960484,3.062101825
0.6025198614,99.25974776,513691,3.02237827,0.2704497135,0.9970028673,0.002570703974,8.296243187,6.191902727,5.051963063
0.3441561892,114.35323,513870,2.557808483,3.918839518,0.2517958229,0.01900133569,4.909621623,6.197287793,3.212232883
0.1844046057,128.8012901,514356,9.979419466,0.00649766284,0.09207628024,0.00819975131,5.827246195,6.193036828,11.66174024
1.949560992,104.3006643,514778,7.85650945,0.3651885439,2.496013759,0.003250998689,2.604601354,6.191085941,7.39094772
0.0640978576,91.87821315,514347,4.301819246,0.1284769255,1.006052133,0.001057404615,6.524648747,6.195827404,5.769340855
0.7918550715,95.01290074,513997,6.74428612,0.4175626711,0.0527119737,0.001558994847,9.018589318,6.197247858,3.808466644
0.9299119956,96.27062674,514016,4.286753631,2.876071375,0.7766532434,0.001390718802,2.099206257,6.194811116,5.74753213
1.20208136,106.4572061,514321,3.80644879,3.124898765,1.684747073,0.0007656464398,5.017935326,6.197208989,4.363063946
0.4703796627,97.28343121,514498,4.806154352,0.5381946587,0.390702054,0.002517092572,5.924676175,6.198404356,5.450962706
0.5058800146,83.29671705,514568,7.166289368,2.473466832,0.1825689389,0.002708378555,3.515361779,6.193527997,1.675439592
2.811430646,122.8715702,514029,9.672330536,0.4568646792,0.8160175499,0.0002738590487,3.974667966,6.193815078,4.557646564
0.7780493791,92.49513815,515404,3.48016008,0.581026903,0.2155987594,0.002660380458,7.497613302,6.196950893,6.685050924
1.136997382,91.82121883,513303,2.894938698,1.189029294,0.9879536014,0.0023219007,2.402560086,6.190001603,5.788197443
1.507778835,87.45114085,515306,2.406740919,6.470516893,0.8580966362,0.002996627647,1.758838285,6.197295285,4.409678111
2.783819261,128.0657553,513933,3.979951928,10.82481397,0.5866186601,0.00112530722,2.057549043,6.192525737,11.17257592
0.2869611779,105.5129489,513787,4.957195049,0.8141107333,1.467564693,0.005736654524,6.829923017,6.195890941,2.098636588
0.6676038399,94.33744103,514545,4.937605834,0.5088785848,1.663481299,0.0009948745407,5.525409365,6.19599887,5.287172755
1.438750373,101.5264273,513964,5.623538388,1.843171291,0.4811947127,0.006810918385,5.622462733,6.193483928,3.018090869
0.6419646969,99.53470685,515038,2.04797505,2.823205858,0.03461344196,0.009931719556,6.355689135,6.19850314,0.9542173429
0.6419646969,104.6588043,514560,4.337348385,1.447117838,0.4178498516,0.006588338522,4.80845227,6.19438114,6.18127493
0.6873262576,105.0777895,513916,2.134473074,0.4103038427,0.3545049905,0.002170286472,6.997698491,6.198633014,0.6972739109
1.687252836,90.08828343,514222,17.22221352,2.006889145,0.7042591164,0.003233250445,4.537632302,6.196766564,2.630289945
0.7267710931,92.45123712,515056,3.361828857,0.5848801298,0.3332392157,0.002187076685,2.622062743,6.19517464,1.503047741
0.6952152247,83.88052373,514409,2.227817422,0.2874505912,1.229116537,0.005330200227,6.948480774,6.200915802,4.77492681
0.4940465639,100.7724078,514368,0.471650665,2.861729611,2.001471379,0.001961642376,14.04031269,6.194888118,0.3716092102
1.178414459,91.76730529,514602,5.45149356,1.278428904,0.1522538983,0.002853411261,8.659697425,6.197149657,7.570509091
0.9062450943,116.4581689,514595,3.84334047,0.02097885222,0.1463718755,0.001443786888,5.621911956,6.202401704,8.876130262
0.9555511386,99.0302301,513744,10.26851144,1.030721512,0.8341160816,0.001388135061,4.761099847,6.192598708,2.080503306
0.08382027532,103.4411283,514081,6.182617117,0.02097885222,0.4540469151,0.001996290502,3.045765339,6.197522107,5.269831996
0.5472970918,89.07470877,514094,4.545831448,0.4879344818,1.111476081,0.02235366728,2.891116544,6.196693952,3.898065627
1.492000901,114.1683836,513323,2.619950544,4.09060498,0.7857025092,0.01014290087,5.52051976,6.199556547,8.271034566
1.336193801,108.9557139,514060,3.114069246,3.612738089,1.241333046,0.005648982279,2.806024362,6.199175992,7.839255941
0.2356828918,104.6303071,514194,2.615093457,2.005638341,0.06492848262,0.000633271937,2.577448785,6.192516842,5.459408155
0.7602992032,93.94079137,514096,10.29675763,1.651926127,0.5142245331,0.009731678827,1.139804475,6.195922085,3.01927314
1.099524788,95.83238664,513826,6.671518314,2.015967831,0.2640123318,0.002966264235,2.970512291,6.192897821,7.756274826
0.5946308943,112.2452104,514709,10.00329215,1.432685446,0.9065102086,0.001226278585,5.099943681,6.196926864,5.458320363
1.300693449,95.21623183,515221,8.291932821,2.528306453,0.1251061007,0.004914470245,2.485770502,6.194208518,10.1544391
1.695141803,87.6829691,513576,4.152208863,3.093805458,1.015101399,0.001209715495,2.413206584,6.196224144,8.05351564
