Monobit,Frequency Within Blocks,Runs,Longest Run in Ones,Binary Matrix Rank,DFT,Nonoverlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity
0.1922935728,82.11447001,514580,3.665841721,0.831816838,0.7676039775,0.007639830659,1.140945363,6.193077882,5.257134693
0.3836010247,81.05853471,514108,8.360952545,0.3275290213,0.09207628024,0.002105081963,3.348598434,6.195680101,1.098508082
0.1686266715,104.5332627,514586,3.068050175,2.473466832,0.4992932444,0.002088849467,12.35700835,6.198073086,2.848311886
0.3993789589,111.7399634,513397,2.397679168,3.185389033,0.315140684,0.0007749424021,5.44927576,6.200982351,7.609800524
1.592585231,98.43949167,514825,10.58181915,1.491549929,0.9033429656,0.007621078302,1.625965264,6.201618357,8.640981843
0.8115774893,93.3562145,514097,16.43152705,0.6087958875,0.6499635212,0.001072951443,3.766170038,6.198119206,2.909509827
0.2317384082,83.73649755,514228,6.821442281,1.231331519,0.1011255461,0.001766313902,1.837059432,6.198176624,7.657259263
1.817420793,89.26571676,513539,7.642621123,1.879358529,0.7495054457,0.001440272785,4.262867113,6.194940274,7.886856952
0.2376551336,92.65148744,514501,4.946658045,3.56814344,1.087495526,0.0006509652518,2.858132935,6.193284709,5.123648272
0.3481006728,83.41070569,513530,9.471271437,3.737769603,1.256264335,0.004839361514,2.580287918,6.193166964,2.487137874
1.472278483,96.97843458,513689,4.454734052,4.580935106,2.490131736,0.001490610229,4.92163292,6.194392606,3.542388126
0.9358287209,96.57639357,514262,2.021600843,0.04971685758,0.2097167366,0.0009987581872,6.763607553,6.199332188,2.194025789
0.0640978576,91.92057379,513974,9.125053351,0.4428705226,0.110174812,0.001048398626,3.400646726,6.194498554,9.087784066
0.3481006728,86.98979494,514059,5.817064065,2.83807474,0.8761951679,0.0003447252678,8.736688249,6.194555102,11.07917799
0.3697953323,90.07904111,513655,0.3753557376,0.005422802456,0.2608450887,0.00607632261,3.947677994,6.192197244,14.47406882
0.407267926,73.47289882,513968,5.681174219,3.215734853,0.2821108635,0.0007203028016,3.171792765,6.198586728,9.510032464
1.328304834,120.8390296,513487,3.923916528,3.68480372,0.242746557,0.007691796853,2.846542733,6.196910239,5.682771594
0.2968223867,94.3767209,515238,1.308551757,1.21648469,0.6621800301,0.005421377084,5.702910447,6.194407191,10.91439314
1.353943977,110.5199769,515179,6.351541145,0.2702278611,3.08421604,0.003780417975,3.651262219,6.202633644,4.209700449
0.006902846203,145.7039569,512737,6.742119816,0.0379992357,1.039081954,0.003527903322,2.685203015,6.192898242,7.688643649
0.8194664564,91.37989795,515145,5.186790987,0.2581345097,0.3060914181,0.001639235579,3.273400652,6.193149874,3.671697619
0.2652665184,101.5156446,515029,8.772453348,0.3751509733,0.390702054,0.008676257582,0.3025251913,6.197997666,13.74805541
1.367749669,91.33060556,513763,2.88348604,0.3275290213,0.5354903079,0.0008170565541,7.988508109,6.195008117,9.776918842
0.7583269614,117.7659574,513812,9.864614343,0.9007958562,2.716363383,0.01099517908,1.399065381,6.193712901,7.779006881
0.2928779032,93.95465486,514325,4.040445159,1.968566257,0.5413723307,0.0008090138253,2.783166985,6.194633215,8.56812572
1.115302722,84.11851353,514341,8.200605684,1.597755289,0.3422884816,0.001532207174,0.3363304482,6.196600156,7.573424117
1.566946088,128.6241456,513718,6.906237967,0.5239475999,0.7164756253,0.005122292441,4.253289544,6.197039661,7.797349762
1.04627426,75.90362954,514717,5.093024642,1.684708493,0.7979190182,0.006652103427,13.2701135,6.199377684,7.470551049
1.044302018,90.71830172,514685,9.082884615,2.632381595,0.8884116769,0.002940774224,3.189580346,6.194869565,2.024867159
0.8214386981,116.200154,513716,6.52738453,0.0379992357,0.6137664577,0.0005039031286,2.395473701,6.192386445,5.09651605
0.519685707,78.62703379,514053,8.057772616,1.068774508,0.1463718755,0.002383583604,4.34592418,6.197462376,2.738955502
1.718808704,82.99557139,514070,4.794025792,2.3688924,1.060347728,0.01110868151,2.788911181,6.195745207,6.657370547
0.1350985614,128.48243,513481,4.094574005,4.308859342,0.2608450887,0.0006201956167,3.071440696,6.198667468,12.71169094
1.03444081,82.1036873,514033,8.627617683,0.04857045688,0.2789436205,0.007722859984,5.472638215,6.199825426,3.94282317
0.07593130823,93.70357177,513582,10.09580118,0.8527819089,0.5445395738,0.0008342506414,2.584665031,6.19909446,4.229116208
0.5492693336,128.4862809,514133,4.201154415,0.03408926843,1.220067271,0.003369254582,9.495007817,6.196727942,8.090355994
0.5492693336,94.63704631,514435,1.787123291,0.00649766284,0.1192240778,0.00468803053,2.035385195,6.193259619,2.685258994
0.251460826,100.4088765,514645,5.167951182,0.3336894958,0.8703131451,0.00377972815,18.87649057,6.201051828,1.586446892
0.38951775,136.5332627,514774,5.208053168,3.778153367,1.775239732,0.002005705028,4.671421179,6.191925524,2.939864645
1.600474198,98.21690575,513800,3.495502758,3.479822332,0.2970421522,0.001220852498,2.736323088,6.197286402,10.91900943
1.939699783,127.4888803,514309,1.454174531,0.9096895922,0.02873141914,0.001355118169,1.25679544,6.198018166,5.994787407
0.03648647279,78.09020891,515046,1.956422844,0.2667568891,1.015101399,0.009899051228,0.9145533719,6.19717967,3.35206983
1.304637932,99.06719938,513239,9.749282254,0.9593839684,1.102426815,0.001809063118,3.59904012,6.192649572,1.41733071
2.194118972,82.50187735,514216,5.929458785,3.873740857,1.042249197,0.007531537907,2.721257749,6.199812268,4.388946893
0.6695760817,100.1901415,514512,4.19833901,0.09800216807,1.120525346,0.002726619736,1.985000825,6.195786048,11.28342123
0.208071507,94.76027727,513496,9.996638514,7.914210286,0.03778068501,0.0007442400957,7.618267291,6.190769428,3.55251694
2.19214673,121.3727737,513888,3.41620884,1.662040684,0.2336972911,0.001197557505,7.935100321,6.196492926,6.569651141
0.03254198924,71.2547415,514245,4.552714571,1.457407229,2.224535783,0.000573529886,7.676214283,6.192499045,7.845960625
0.04043095633,100.275633,513248,4.507902586,0.8448716483,0.6621800301,0.008739033353,7.54539274,6.195687071,11.09893605
0.1153761437,102.7641282,514646,6.032613789,0.8308774851,0.1192240778,0.0007719676941,4.974552338,6.201363571,0.8207466087
1.624141099,89.51448927,513602,7.180900018,0.6038060142,0.06492848262,0.01355565833,4.089136118,6.200344997,3.262703458
0.1824323639,107.8604987,513582,7.297598857,0.4708378595,0.9698550697,0.01131250348,4.093562896,6.191552299,7.552830588
0.2100437487,89.86107635,514037,4.800291914,1.037349523,0.3816527881,0.001054750867,5.861678827,6.199216939,3.157753406
1.405222263,101.2299028,513625,5.247222421,7.033003318,0.1644704072,0.004618779517,7.538456545,6.197003936,2.486438654
0.3796565411,128.4031,514637,6.131731882,0.0427116478,1.051298463,0.001067827187,1.07464999,6.201517752,8.358104124
0.4191013766,110.2619621,514299,5.499679725,0.52797244,1.214185248,0.0191123808,2.385059062,6.201618207,9.889916898
0.9851347652,104.8505825,513687,11.856122,2.225302808,0.3332392157,0.002782325676,5.934679245,6.195135553,4.480542124
1.231664987,82.80995475,514671,6.626263061,3.10778766,0.8341160816,0.005098849016,5.555972598,6.197241057,1.540965195
