Monobit,Frequency Within Blocks,Runs,Longest Run in Ones,Binary Matrix Rank,DFT,Nonoverlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity
0.07395906646,126.4622124,514236,11.1788398,2.861729611,0.5956679259,0.001266010217,4.970720095,6.196626307,13.88872161
0.04437543987,116.2825647,513972,8.022946858,0.4103038427,1.684747073,0.009119330007,4.488914798,6.195983917,8.359303614
0.06804234114,73.8425917,514600,3.731521399,2.326892961,0.06492848262,0.005088250555,4.02580996,6.197588512,7.312458734
0.1449597703,121.2341388,513510,9.441679074,3.052524934,0.6621800301,0.002022852223,11.77105402,6.197959168,6.631013648
0.7070486753,91.44690478,514346,5.641527814,0.9780605256,0.7676039775,0.005275148728,1.997883146,6.19036728,10.08774733
0.9851347652,99.96832579,514723,12.4551325,0.0895806658,0.5956679259,0.002729451034,7.334635799,6.196577673,4.212073419
0.5433526082,96.86290556,514017,4.213739696,0.9780626966,1.920027986,0.0005067538903,3.521785767,6.199066658,3.505033648
0.6104088285,82.36709348,513700,11.01443215,2.15998301,0.2097167366,0.001021952952,5.961713639,6.195473642,4.139679765
0.8056607639,81.36430153,514835,6.133552968,2.367944371,1.699678362,0.002067769749,9.47427873,6.196094766,2.300668336
1.458472791,109.8314239,514446,5.129156575,2.39192083,0.02873141914,0.01195654443,3.002749521,6.19186841,5.412482571
0.7169098842,105.8449023,513751,8.592123927,0.8000526048,1.672530565,0.001310949286,3.62122869,6.198695521,4.555229534
0.1528487373,89.14864735,514446,3.350878002,0.4587665284,0.110174812,0.01297329247,0.9861979595,6.192445301,3.79926232
0.6478814222,77.38317127,515025,8.249130124,0.9947026578,1.455348184,0.02037946983,4.521458623,6.19532473,4.398210959
0.2376551336,117.226822,513239,8.201487632,1.082616942,0.07397774849,0.01172805536,5.670330893,6.194408346,2.385050119
1.284915515,97.16482141,514369,13.76670682,5.605369965,0.2549630659,0.003623731519,2.902763068,6.20067312,9.906047534
0.164682188,102.8804275,514104,9.393415689,1.684708493,0.3422884816,0.001070832881,5.613231641,6.199176542,2.248746999
0.3540173981,131.0795225,513850,7.083642812,0.6758903736,0.3454557246,0.00106278671,9.743929319,6.196439172,7.447823134
1.26913758,91.89130644,515435,4.250619524,1.597593747,0.6047171918,0.003474483344,3.246995243,6.194633844,10.00787056
1.738531122,116.8971792,513795,3.520245869,7.814805569,0.2187660024,0.005675001434,6.700156403,6.192327988,8.245936787
0.5906864108,77.50332146,514431,6.915177102,3.549026472,0.3997513198,0.0004220745599,6.364125439,6.1881351,4.353012301
1.261248613,95.75998845,514295,4.13638732,1.425248816,0.01968215327,0.001832076128,2.149546414,6.193598246,5.480562074
0.5433526082,84.71849427,515010,12.04213469,2.451048652,0.3726035222,0.01997025322,3.951224816,6.191629269,2.36270473
0.4309348272,115.9429094,513963,5.899185488,2.116004774,3.684634831,0.002528073201,7.32093431,6.194400957,4.74112653
1.973227893,89.22720709,514104,6.180501655,0.4879344818,0.5626381055,0.002178164465,3.084499704,6.198337777,2.801792871
0.1390430449,92.68768653,514766,3.910626398,0.9780605256,0.3060914181,0.02604332985,3.233503532,6.197015071,11.56710025
1.827282002,90.58890921,514106,2.505162241,4.869622766,1.346756993,0.003362795943,1.058369001,6.190696671,4.440343495
0.5689917513,106.0128045,514446,3.902025362,1.320775923,0.9214414973,0.000816929165,4.427027553,6.195699848,6.235541708
1.521584527,100.3449504,513764,10.36996116,1.16427027,0.6802785618,0.009618165022,1.45143919,6.196308027,1.932619753
0.3126003209,84.964186,513562,6.300433136,0.928387459,1.446298918,0.003444171696,3.20944206,6.192835191,9.325676189
0.03845871456,84.26639068,514737,1.009580634,0.7159424355,0.1794016959,0.001814996393,8.578964101,6.201733977,8.069109199
0.6636593563,90.35939155,514122,3.510516056,2.011330955,1.663481299,0.001280181395,5.350477855,6.198428565,2.286239451
2.486010754,83.38220853,514848,11.71177875,0.2702278611,0.2789436205,0.001574612064,12.28163767,6.19483437,2.744059514
1.478195208,79.2670646,514505,5.64408357,0.9159794026,1.992422113,0.0008584201433,2.210103472,6.192022533,4.69647219
0.2830166943,81.88957351,514129,5.589018122,1.995114068,0.001583621528,0.009252402582,4.234300802,6.200223939,2.52566888
0.4940465639,96.64879176,513808,7.333812515,1.120394245,1.120525346,0.0009674927674,5.230633043,6.20410366,8.237123737
0.9338564791,98.39405026,514382,3.683059124,1.239544207,0.05587921675,0.01390668676,5.046707149,6.19512884,5.479338048
0.2356828918,77.82834312,514316,9.623836788,5.314906639,1.929077252,0.0008231781175,3.855005419,6.198967104,2.138248896
1.898282706,111.698373,514430,1.568016725,0.9769441392,1.066229751,0.00585521703,1.867671537,6.199700778,16.67939186
1.647808001,97.44132088,514207,7.975880655,2.796314434,0.07985977131,0.001217640552,5.619931575,6.199935177,1.41754221
0.7326878184,120.2898816,514659,9.643791352,6.246110687,0.8974609427,0.007460727041,3.124052618,6.198434117,7.367752126
1.495945384,107.3436989,514430,0.529791272,1.616773273,0.9576385608,0.00344371986,6.444152251,6.196549821,2.115654145
0.03056974747,88.8220853,513811,7.306885656,1.25048429,0.1463718755,0.002283620845,5.258817886,6.197309703,4.399318655
1.099524788,85.2137287,514611,2.20455587,1.314333232,0.5535888396,0.01203055411,0.8401013937,6.193990219,6.141556682
0.6853540158,87.53047078,514225,1.33841047,0.7928584432,1.401052588,0.001066659262,1.163857177,6.192095574,7.046060403
0.4467127614,67.54702994,514271,8.013054031,6.954565495,1.826368084,0.003832358325,6.758876832,6.192903978,8.109867773
1.121219447,67.60556465,515061,5.477005877,0.3478292586,0.01651491021,0.02569005536,1.670384812,6.196822427,2.313353796
0.2199049576,94.34591316,514104,5.442318069,0.206644123,1.458515427,0.004802437386,4.200153893,6.194769798,4.838833623
0.2060992652,101.5687879,513494,1.351107217,0.7286196767,1.201968739,0.002186289428,2.08996217,6.197799404,7.568137674
1.040357535,78.60161741,513559,11.40035427,1.804633411,0.803801041,0.0006238520285,1.015701674,6.199773506,8.484320796
1.752336815,98.25310484,514582,1.577388813,3.438807429,0.1160568348,0.01121670581,4.536137151,6.196989635,5.720145934
1.685280594,116.9664966,514421,0.3959414017,0.1779061111,1.594254415,0.01131392384,2.758661748,6.193937102,3.972427115
0.9318842374,89.29113315,513880,8.42196358,0.1330242339,1.971156338,0.001862021023,3.589464101,6.192048234,4.212265032
0.4230458601,110.7202272,514286,4.663876044,3.986094065,0.3513377474,0.001420445529,4.277644715,6.196644036,2.565620808
1.097552546,117.1421007,515152,3.949816114,0.5892337852,0.2549630659,0.00136007586,8.110483802,6.199501135,1.520749996
0.05818113228,113.6323289,514824,6.58239301,5.270725273,0.9757370925,0.02012437376,1.919246362,6.196711477,4.97507247
0.8391888741,77.83450467,514223,4.679061208,0.0686860866,0.08302701437,0.0004381187022,3.09002093,6.199849905,5.972809583
1.300693449,101.3716184,514453,11.558079,0.674552852,0.1463718755,0.002584396869,4.698901658,6.199937137,4.266096914
1.01274615,110.8488495,513960,6.39008527,1.597755277,0.5685201283,0.01481406795,5.860872547,6.194853321,2.829174847
0.2909056614,101.0188697,513925,11.59860563,2.620909681,0.879362411,0.00206781795,6.726282457,6.1933573,2.893351375
0.5985753779,80.05420237,514001,6.163458887,1.468419622,0.4992932444,0.007359063829,3.702304331,6.197721692,5.243105959
1.807559584,115.4130163,513237,4.025516586,0.08628454805,0.1282733437,0.001838141758,2.435394553,6.191360735,3.910689042
0.7366323019,95.59208626,514540,5.403923629,2.581220038,0.02556417608,0.0007748184559,14.29111987,6.199073187,10.7918327
1.848976661,99.21892751,514483,2.197047365,0.3651885439,1.684747073,0.001137391206,4.100797631,6.196268264,5.208929325
1.616252132,116.271782,513846,1.479626987,0.8705671582,0.8612638793,0.01395627723,1.462603381,6.197047057,2.534955824
0.4506572449,99.29209589,515198,8.411908483,0.8274552614,0.5956679259,0.007894536398,5.118746587,6.19866106,5.771373874
1.050218744,98.62279773,514904,3.949591043,1.867856252,1.150840387,0.001113005564,3.484326062,6.197264544,2.403608699
1.596529715,74.95783191,514290,2.464286165,0.429101452,0.2789436205,0.00945565192,6.284337927,6.20061209,2.487931565
0.320489288,103.2316357,514318,9.887446115,1.995114053,0.8309488386,0.008432750242,6.697982234,6.198441046,3.449327509
0.08973700064,91.80658515,515119,1.151156018,0.169238218,1.34087497,0.01261861943,2.071501871,6.193908364,6.256774793
0.03648647279,94.28814865,514420,1.038151183,1.779365684,1.766190466,0.005843481954,6.718712828,6.198981745,6.022486464
0.9358287209,84.57138731,514518,7.336868858,0.1259474829,1.105594058,0.01258468845,1.889799688,6.196664637,2.582640664
0.2376551336,100.82093,513978,6.141909424,0.91836073,1.53995882,0.0005731580475,1.143241491,6.198019606,3.651365763
0.657742631,86.31972658,513951,5.674539089,0.2667568891,0.7947517751,0.0004415298995,3.937185451,6.196756534,8.786648022
1.632030066,106.3547704,514379,8.693647006,0.2923761519,0.1735196731,0.001103623202,3.561782207,6.200489768,1.95795166
0.3678230905,134.8696447,513780,3.849560415,0.9183607199,1.404219832,0.003408361038,1.488130886,6.198628978,9.650026601
1.022607359,104.9368441,514197,4.019223644,1.50514738,1.07844626,0.002707565249,3.281325059,6.192493091,9.199832065
0.1883490892,127.6044094,514632,2.824746003,1.001816229,0.2006674707,0.001534728943,7.365124087,6.194159105,2.882507262
0.2455441006,80.59102725,514787,5.060352518,0.8524834696,0.0106328874,0.003290998857,3.586364104,6.199776307,5.238659787
0.2889334196,98.68903437,514524,2.153251261,0.4514929001,0.5445395738,0.001365022616,7.087985675,6.199453088,10.81212017
0.7149376424,113.7786656,514802,5.43200141,1.867856252,3.666536299,0.0006977170562,4.616295039,6.197807059,2.383466168
0.03845871456,82.62279773,515238,10.6150511,0.5381946587,1.015101399,0.004010383441,5.033167942,6.195404151,3.321430147
1.714864221,97.54144604,513952,10.81008604,2.289749721,1.319609196,0.01578746085,5.390448564,6.197898809,5.229458506
0.06804234114,89.53836526,514923,5.616815253,1.713133599,2.815905307,0.00224439877,5.107115711,6.201547733,4.451521585
0.3303504968,74.69211514,514060,8.039520303,3.107578122,0.3875348109,0.0007193835342,2.204174343,6.201665106,6.557497019
0.6892984994,86.57774141,513560,9.633358151,1.887467144,0.3694362792,0.0008696028417,6.804890789,6.19827796,2.280607273
3.47213164,113.2356792,514234,3.634068113,1.808574473,0.06176123957,0.002673361226,8.443902141,6.192474208,3.645803887
0.1745433968,74.81226533,513862,8.385364784,1.292819749,0.1160568348,0.034604712,6.584362139,6.193980526,8.926206498
0.2711832437,93.98238182,514269,7.02433685,0.4081858983,0.5626381055,0.008441260649,1.390449748,6.19546036,5.990803343
0.2790722108,92.84249543,515549,1.245944754,2.811624431,0.6893278277,0.0004406458267,4.551471765,6.197117057,3.836506561
1.807559584,95.05757196,514000,13.56002821,1.797523073,0.4902439786,0.004089529763,6.731454457,6.194427475,1.062903933
1.182358942,115.7357274,514045,2.339065162,0.419296905,1.201968739,0.007897104436,17.00530962,6.19903641,4.389941386
0.07790355,92.19476268,513934,7.097370966,0.831816838,1.871614414,0.01255251799,4.453409036,6.19816927,7.618774225
1.774031474,122.7267739,513963,14.9325829,3.937050811,1.301510664,0.003408633119,10.35068807,6.194197474,7.030797345
0.07198682469,86.69481082,513935,17.01159492,1.875329668,1.699678362,0.0004743618611,4.392468779,6.195473237,4.050175638
1.219831536,104.6826803,514328,12.64225234,0.169238218,0.7857025092,0.0009379266342,6.221055161,6.19499882,4.794522421
0.458546212,107.4777125,513375,3.91038613,0.3795429221,1.753973957,0.004812084095,1.545291687,6.197842837,6.063030903
1.462417274,100.9095023,513613,5.070779713,3.690662507,0.1735196731,0.00131513077,5.011088226,6.198661283,4.529642238
0.9239952703,72.20901126,514906,3.329885031,2.506231864,0.5354903079,0.005964524638,7.892112131,6.195097992,6.331733
0.2987946285,97.5106383,514331,9.057389179,1.001816222,0.1432046324,0.001927684188,7.66366123,6.195973116,3.378985211
1.588640748,89.78020603,514923,3.429894722,3.153896482,0.7707712205,0.008556022069,7.250908459,6.196263569,4.761285131
0.5867419272,111.9687109,514010,10.26563333,7.467708057,0.8761951679,0.0008610023551,4.895969376,6.198656035,4.923857551
0.8845504348,107.280543,514334,3.869246183,1.188219622,0.4146826085,0.007621626017,3.399421351,6.195724234,3.583108427
0.7583269614,115.3798979,514009,7.53909294,1.357445105,2.71319614,0.01160590422,3.424278995,6.20130399,7.299970637
0.6025198614,76.35265235,513602,3.592497468,0.7906754765,0.4961260014,0.01481907044,2.412440047,6.19946461,2.558799016
0.7307155766,93.11437374,513079,4.012797822,0.410303839,0.17035243,0.00289263167,6.868975925,6.200312915,7.607683359
1.062052194,126.9874844,513393,7.731827181,0.04971685758,0.4992932444,0.001567467704,0.9220362755,6.190781274,6.898284014
0.943717688,100.4281313,513470,5.181168316,3.385107338,0.09795830305,0.004826592613,3.266025787,6.196121697,2.922217848
0.1725711551,118.8303649,513564,5.251450419,0.1777793036,0.4359483833,0.001668627524,2.415446992,6.195253325,5.428989176
0.5709639931,85.10051025,514170,5.830089939,2.840360322,1.377072034,0.002075694502,9.384091313,6.192075697,2.266725776
0.320489288,98.83691152,514468,4.820062331,2.233333407,0.3997513198,0.002976430556,3.03402964,6.195800572,6.288844643
1.351971735,90.92625397,515289,3.749164122,3.154897642,1.07844626,0.01969832142,2.928060634,6.194638082,9.064992342
0.8253831817,101.465582,513843,3.608832728,1.744768866,1.129574612,0.01282952122,6.363234019,6.201376571,6.431985245
1.206025844,88.27832868,514570,5.520087943,5.007124118,0.6259829666,0.01372066986,1.145487193,6.196362279,11.48120164
0.6301312462,105.4621161,513864,4.800148588,0.7898658123,0.4418304061,0.001487941561,2.42256179,6.196707569,7.083627519
0.5216579487,61.66737268,514625,10.00746997,0.8569602882,0.2155987594,0.0008837051607,4.815059453,6.194568479,0.8775558581
0.2139882323,69.66737268,514275,3.079046803,1.193912622,1.373904791,0.000980073303,5.299221891,6.197704965,4.161247913
1.261248613,102.1572158,514076,2.216762542,0.4788893905,1.23228378,0.0008295640227,3.496291192,6.19623045,1.558764976
1.04627426,108.0538173,513876,11.28659363,3.80406677,1.549008085,0.007905438637,3.732053743,6.193641754,1.366468114
0.563075026,82.58428805,514306,7.598631831,1.622956875,0.5685201283,0.00213906457,10.32156298,6.194534927,10.44946835
0.3599341234,92.86791181,513596,2.578900546,2.288537211,0.5626381055,0.001508517772,0.4778296851,6.195812326,8.451428177
0.4230458601,92.03687301,514169,4.483327272,0.9485222566,1.763023223,0.0004375146559,8.030481558,6.1983456,8.072502668
1.586668506,89.45826514,513717,5.692664451,6.321981074,0.6621800301,0.0008645554784,6.170508261,6.198800472,6.340527324
1.852921145,82.13526524,514482,6.196071118,0.4302601251,0.07985977131,0.007852079087,2.33628006,6.195186764,3.466171067
0.8372166323,90.97939732,514308,7.026413113,0.2417117007,0.1975002276,0.006071307225,3.761022705,6.194016434,5.441890328
0.606464345,90.96784442,514693,2.73239203,0.5641886099,0.3603870133,0.001243293639,5.637318589,6.196903286,4.611431425
1.028524084,102.3466834,513981,6.952690645,0.5892558092,0.4811947127,0.00307325278,4.520488657,6.192875425,6.233332806
