Binary Entropy,Byte Entropy,Monobit,Frequency Within Block,Runs,Longest Runs in Ones,Binary Matrix Rank,DFT,Non-Overlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity,Compression Ratio
0.6931470663,0.02350644675,0.3429591685,59.44284615,0.4741726957,1.992775365,0.6203944343,0.7164378605,0.0006142317899,0.952803375,0.002951298651,0.9117173636,1.001150632
0.6931471547,0.02350644675,0.1631147265,44.97387665,0.4614242509,3.718574093,1.368512714,1.304940389,0.0009986001712,2.09811419,1.12E-05,2.523394736,1.001150632
0.6931466835,0.02350644675,0.7151953392,45.10973732,0.4649631786,5.499585767,0.9643465183,1.055466491,0.0008419779707,4.371332865,5.49E-07,6.647213959,1.001150632
0.6931467008,0.02350644675,0.7026480525,55.57678245,0.05089503011,0.8558853989,0.9873640866,0.2814577309,0.007540666868,5.637473282,0.0002700531533,2.322742376,1.001150632
0.6931462471,0.02350644675,0.9800825018,37.48537477,1.646430929,2.316060666,0.4157183892,0.2814577309,0.0007820240886,5.195237973,0.002885858123,1.480531757,1.001150632
0.6931470479,0.02350644675,0.3694478848,43.6768498,0.3594986904,1.554491023,0.06337622481,1.202592123,0.002011799413,1.266824617,0.0002617772261,0.7480506335,1.001150632
0.693146523,0.02350644675,0.8225443472,54.0961705,0.2527911033,2.664771614,1.090570871,0.05757089951,0.002252385601,2.757392949,0.0003669423032,3.386760916,1.001150632
0.6931467633,0.02350644675,0.6552471918,57.8748677,0.258712233,1.954111628,0.5124655047,0.7740087601,0.0001677407203,0.5144014207,0.0001068404732,5.013340748,1.001150632
0.6931461877,0.02350644675,1.010753647,51.97243337,0.1979988391,2.076246931,0.2540917208,0.1471256321,0.0002177663319,1.351708418,0.001031267922,2.474771938,1.001150632
0.6931470356,0.02350644675,0.3861776003,51.14187434,0.7596002212,2.348333844,2.875631615,0.7612152268,0.0007975045837,4.696672698,0.0005169756102,3.331195127,1.001150632
0.6931471767,0.02350644675,0.06273643326,48.50394496,0.5492978181,3.415661522,0.9325118262,0.9914988249,0.0006498647332,1.190541283,0.0005702739133,5.455768224,1.001150632
0.6931470261,0.02350644675,0.3987248869,48.49201386,0.4891226876,1.576677458,0.171316904,0.7164378605,0.001610637043,1.00142306,0.003613854418,2.33027931,1.001150632
0.6931456642,0.02350644675,1.249152093,51.53406139,0.01054028386,2.499849842,0.1363533689,0.2430771313,0.003533714403,0.5017066763,0.001205485292,3.880770612,1.001150632
0.6931456574,0.02350644675,1.251940379,47.55022611,0.4216356282,1.842931033,0.07583088977,1.081053557,0.0007650276967,3.696029933,0.0008919084867,5.163795562,1.001150632
0.6931471441,0.02350644675,0.1937858716,60.32382373,1.091561664,1.355546571,0.7702745836,0.06396766612,0.008841234704,0.5567535007,0.001712772459,6.109691891,1.001150632
0.6931467233,0.02350644675,0.685918337,38.04421245,0.1665590866,3.946320058,0.2492147312,0.9019440923,0.0006123611707,3.000984129,0.000928860488,3.455005275,1.001150632
